State,measure_group,total_estimated_responses,negative_estimated_responses,negative_rate_pct
DE,H_CLEAN_HSP,14560.0,2164.49,14.87
AL,H_CLEAN_HSP,43812.0,6132.5199999999995,14.0
MS,H_CLEAN_HSP,20776.0,2830.96,13.63
MI,H_CLEAN_HSP,55248.0,7176.460000000001,12.99
AZ,H_CLEAN_HSP,38570.0,4875.809999999999,12.64
TN,H_CLEAN_HSP,48625.0,6053.780000000001,12.45
ND,H_CLEAN_HSP,5355.0,664.74,12.41
DC,H_CLEAN_HSP,7506.0,929.51,12.38
AR,H_CLEAN_HSP,21826.0,2579.91,11.82
SC,H_CLEAN_HSP,41031.0,4822.5,11.75
MO,H_CLEAN_HSP,56607.0,6576.710000000001,11.62
NM,H_CLEAN_HSP,14735.0,1680.49,11.4
NY,H_CLEAN_HSP,117818.0,13312.24,11.3
IL,H_CLEAN_HSP,85079.0,9489.029999999999,11.15
PR,H_CLEAN_HSP,3904.0,426.31,10.92
MD,H_CLEAN_HSP,39595.0,4174.610000000001,10.54
MT,H_CLEAN_HSP,8535.0,898.8500000000001,10.53
GA,H_CLEAN_HSP,65517.0,6785.8099999999995,10.36
LA,H_CLEAN_HSP,34247.0,3504.35,10.23
FL,H_CLEAN_HSP,208855.0,21288.489999999998,10.19
MA,H_CLEAN_HSP,46689.0,4740.03,10.15
NC,H_CLEAN_HSP,66224.0,6702.45,10.12
OK,H_CLEAN_HSP,35845.0,3623.7499999999995,10.11
PA,H_CLEAN_HSP,89269.0,9015.96,10.1
KY,H_CLEAN_HSP,37177.0,3727.6499999999996,10.03
IN,H_CLEAN_HSP,41304.0,4072.8800000000006,9.86
NV,H_CLEAN_HSP,14782.0,1453.8700000000003,9.84
WV,H_CLEAN_HSP,19369.0,1905.72,9.84
NJ,H_CLEAN_HSP,69316.0,6788.52,9.79
WA,H_CLEAN_HSP,36970.0,3516.84,9.51
MN,H_CLEAN_HSP,36157.0,3423.2799999999997,9.47
ME,H_CLEAN_HSP,11865.0,1106.3899999999999,9.32
OH,H_CLEAN_HSP,107691.0,10030.32,9.31
CO,H_CLEAN_HSP,44886.0,4172.97,9.3
VA,H_CLEAN_HSP,53264.0,4916.990000000001,9.23
CA,H_CLEAN_HSP,218073.0,20072.78,9.2
NH,H_CLEAN_HSP,10360.0,946.09,9.13
IA,H_CLEAN_HSP,25695.0,2326.64,9.05
NE,H_CLEAN_HSP,23012.0,2061.27,8.96
OR,H_CLEAN_HSP,32937.0,2942.85,8.93
CT,H_CLEAN_HSP,21482.0,1878.7,8.75
TX,H_CLEAN_HSP,177521.0,14981.100000000002,8.44
VT,H_CLEAN_HSP,6528.0,534.38,8.19
ID,H_CLEAN_HSP,13628.0,1102.98,8.09
WI,H_CLEAN_HSP,53985.0,4233.849999999999,7.84
KS,H_CLEAN_HSP,25145.0,1964.6100000000001,7.81
AK,H_CLEAN_HSP,3328.0,258.09,7.76
RI,H_CLEAN_HSP,6616.0,503.99,7.62
WY,H_CLEAN_HSP,3845.0,287.84,7.49
HI,H_CLEAN_HSP,9331.0,695.74,7.46
SD,H_CLEAN_HSP,8790.0,644.0699999999999,7.33
VI,H_CLEAN_HSP,206.0,14.42,7.0
UT,H_CLEAN_HSP,18983.0,1231.85,6.49
PR,H_COMP_1,3904.0,332.57,8.52
DC,H_COMP_1,7506.0,579.8,7.72
NV,H_COMP_1,14782.0,897.7499999999998,6.07
NY,H_COMP_1,117818.0,6902.6,5.86
NM,H_COMP_1,14735.0,851.97,5.78
FL,H_COMP_1,208855.0,11988.689999999999,5.74
NJ,H_COMP_1,69316.0,3885.43,5.61
DE,H_COMP_1,14560.0,814.36,5.59
MD,H_COMP_1,39595.0,2211.0099999999998,5.58
AZ,H_COMP_1,38570.0,2145.81,5.56
GA,H_COMP_1,65517.0,3597.62,5.49
AL,H_COMP_1,43812.0,2383.83,5.44
CA,H_COMP_1,218073.0,11452.28,5.25
TN,H_COMP_1,48625.0,2552.0299999999997,5.25
TX,H_COMP_1,177521.0,8914.82,5.02
AR,H_COMP_1,21826.0,1077.8300000000002,4.94
CT,H_COMP_1,21482.0,1062.1100000000001,4.94
MS,H_COMP_1,20776.0,998.4699999999999,4.81
MA,H_COMP_1,46689.0,2227.44,4.77
LA,H_COMP_1,34247.0,1595.2700000000002,4.66
IL,H_COMP_1,85079.0,3926.2300000000005,4.61
KY,H_COMP_1,37177.0,1708.31,4.6
MI,H_COMP_1,55248.0,2539.4500000000003,4.6
OK,H_COMP_1,35845.0,1618.4499999999998,4.52
NC,H_COMP_1,66224.0,2977.3799999999997,4.5
SC,H_COMP_1,41031.0,1803.6099999999997,4.4
IN,H_COMP_1,41304.0,1771.03,4.29
VA,H_COMP_1,53264.0,2264.33,4.25
MO,H_COMP_1,56607.0,2398.7700000000004,4.24
WA,H_COMP_1,36970.0,1539.75,4.16
CO,H_COMP_1,44886.0,1864.5100000000004,4.15
WV,H_COMP_1,19369.0,785.6800000000001,4.06
PA,H_COMP_1,89269.0,3609.87,4.04
VI,H_COMP_1,206.0,8.24,4.0
RI,H_COMP_1,6616.0,264.26,3.99
AK,H_COMP_1,3328.0,131.87,3.96
OH,H_COMP_1,107691.0,4247.95,3.94
HI,H_COMP_1,9331.0,363.54999999999995,3.9
ND,H_COMP_1,5355.0,207.84000000000006,3.88
KS,H_COMP_1,25145.0,908.49,3.61
NH,H_COMP_1,10360.0,371.9,3.59
IA,H_COMP_1,25695.0,920.0899999999998,3.58
OR,H_COMP_1,32937.0,1152.3200000000002,3.5
