State,recommend_total_estimated_responses,recommend_negative_estimated_responses,recommend_negative_rate_pct,state_population,negative_per_million,avg_cms_summary_star_rating
VI,206.0,22.66,11.0,87146,260.02,3.0
PR,3904.0,347.05,8.89,3184835,108.97,2.1
DC,7506.0,649.86,8.66,693645,936.88,2.5
AZ,38570.0,3146.7,8.16,7623818,412.75,2.8615384615384616
NV,14782.0,1143.26,7.73,3282188,348.32,2.8076923076923075
NY,117818.0,8877.899999999998,7.54,20002427,443.84,2.7611940298507465
TN,48625.0,3585.08,7.37,7315076,490.09,3.263157894736842
FL,208855.0,15375.190000000002,7.36,23462518,655.31,2.7048192771084336
NM,14735.0,1056.81,7.17,2125498,497.21,2.923076923076923
NJ,69316.0,4874.469999999999,7.03,9548215,510.51,2.716666666666667
MI,55248.0,3886.1400000000003,7.03,10127884,383.71,3.195876288659794
MD,39595.0,2655.16,6.71,6265347,423.78,2.857142857142857
AL,43812.0,2896.56,6.61,5193088,557.77,3.2452830188679247
CA,218073.0,14229.59,6.53,39355309,361.57,2.870503597122302
CT,21482.0,1388.6499999999999,6.46,3688496,376.48,3.076923076923077
MA,46689.0,2916.0,6.25,7154084,407.6,3.1666666666666665
DE,14560.0,909.3599999999999,6.25,1059952,857.93,2.857142857142857
IL,85079.0,5244.27,6.16,12719141,412.31,3.1367521367521367
OK,35845.0,2207.1099999999997,6.16,4123288,535.28,3.388888888888889
GA,65517.0,4027.35,6.15,11302748,356.32,3.234042553191489
TX,177521.0,10831.24,6.1,31709821,341.57,3.2663755458515285
MO,56607.0,3368.8,5.95,6270541,537.24,3.2837837837837838
KY,37177.0,2195.96,5.91,4606864,476.67,3.433333333333333
RI,6616.0,391.02,5.91,1114521,350.84,3.272727272727273
AR,21826.0,1283.27,5.88,3114791,411.99,3.27027027027027
PA,89269.0,5134.549999999999,5.75,13059432,393.17,3.3970588235294117
MS,20776.0,1176.6299999999999,5.66,2954160,398.3,3.41025641025641
WA,36970.0,2072.5699999999997,5.61,8001020,259.04,3.3
SC,41031.0,2297.72,5.6,5570274,412.5,3.4
NC,66224.0,3691.9100000000003,5.57,11197968,329.69,3.391304347826087
VA,53264.0,2949.7399999999993,5.54,8880107,332.17,3.6025641025641026
WV,19369.0,1063.45,5.49,1766147,602.13,3.6666666666666665
IN,41304.0,2252.82,5.45,6973333,323.06,3.425287356321839
LA,34247.0,1826.1399999999999,5.33,4618189,395.42,3.76271186440678
OH,107691.0,5703.9400000000005,5.3,11900510,479.3,3.453125
ND,5355.0,270.71,5.06,799358,338.66,3.272727272727273
CO,44886.0,2242.0200000000004,4.99,6012561,372.89,3.5714285714285716
NH,10360.0,508.41,4.91,1415342,359.21,3.619047619047619
IA,25695.0,1209.3000000000002,4.71,3238387,373.43,3.7346938775510203
OR,32937.0,1526.9099999999999,4.64,4273586,357.29,3.7111111111111112
HI,9331.0,425.44999999999993,4.56,1432820,296.93,3.5384615384615383
KS,25145.0,1141.32,4.54,2977220,383.35,3.72
WY,3845.0,174.70999999999998,4.54,588753,296.75,3.8461538461538463
ME,11865.0,530.94,4.47,1414874,375.26,3.84
MT,8535.0,368.61,4.32,1144694,322.02,3.85
WI,53985.0,2310.3,4.28,5972787,386.8,4.06
VT,6528.0,275.27,4.22,644663,427.0,3.8461538461538463
NE,23012.0,966.63,4.2,2018006,479.0,3.8857142857142857
AK,3328.0,139.10999999999999,4.18,737270,188.68,3.5454545454545454
UT,18983.0,740.0900000000001,3.9,3538904,209.13,3.7941176470588234
ID,13628.0,527.9300000000001,3.87,2029733,260.1,3.9166666666666665
MN,36157.0,1363.01,3.77,5830405,233.78,3.8857142857142857
SD,8790.0,292.61999999999995,3.33,935094,312.93,4.0
